subyekt,nomer subyekta,y1,y2,y3,y4,y5,y,god,x
Khanty-Mansiyskiy avt.okrug ,86,22.33,0.35,1.23,50.4,25.68,26034.55,2020,4.91
Yamalo-Nenetskiy ,89,29.17,0.69,3.04,39.01,28.08,27662.41,2020,4.91
Chelyabinskaya oblast,74,32.85,1.79,2.05,37.89,25.42,15892.81,2020,4.91
Respublika Altay,4,29.44,0.95,1.28,45.83,22.5,12306.39,2020,4.91
Respublika Tyva,17,30.07,1.12,0.59,45.93,22.28,11461.65,2020,4.91
Respublika Khakasiya,19,31.67,0.94,1.66,45.98,19.76,17180.09,2020,4.91
Altayskiy kray,22,34.39,1.08,1.7,40.03,22.8,12892.87,2020,4.91
Krasnoyarskiy kray,24,30.22,2.41,1.74,37.9,27.73,19331.48,2020,4.91
Irkutskaya oblast,38,34.53,0.81,1.39,41.88,21.39,16671.23,2020,4.91
Kemerovskaya oblast,42,31.06,0.7,1.35,43.02,23.87,15512.11,2020,4.91
Novosibirskaya oblast,54,33.06,0.99,2.78,44.44,18.73,15357.68,2020,4.91
Omskaya oblast,55,37.71,2.17,1.34,34.55,24.22,15067.18,2020,4.91
Tomskaya oblast,70,28.36,1.77,1.89,43.8,24.18,18114.7,2020,4.91
Respublika Buryatiya,3,36.48,1,1.44,40.45,20.62,13833.59,2020,4.91
Respublika Sakha (Yakutiya),14,32.7,2.16,1.26,38.46,25.42,22988.66,2020,4.91
Zabaykalskiy kray,75,36.62,2.65,1.98,36.91,21.83,16073.1,2020,4.91
Kamchatskiy kray,41,29.39,0.58,1.83,43.4,24.8,30573.97,2020,4.91
Primorskiy kray,25,30.77,3.32,1.98,36.02,27.91,21496.46,2020,4.91
Khabarovskiy kray,27,28.84,1.98,2.06,39.55,27.56,23196.35,2020,4.91
Amurskaya oblast,28,27.87,0.16,1.28,43.99,26.7,17631.29,2020,4.91
Magadanskaya oblast,49,33.29,2.06,1.36,32.65,30.64,29810.85,2020,4.91
Sakhalinskaya oblast,65,34.38,0.55,1.19,42.12,21.76,27382.62,2020,4.91
Evreyskaya avtonomnaya oblast,79,29.39,1.02,2.66,45.11,21.82,18072.52,2020,4.91
Chukotskiy avtonomnyy okrug,87,41.21,0.02,2.72,29.24,26.82,22417.51,2020,4.91
Belgorodskaya oblast,31,31.91,1.98,1.27,43.36,21.48,20285.88,2021,8.39
Bryanskaya oblast,32,39.62,1.13,1.51,34.79,22.96,15228.14,2021,8.39
Vladimirskaya oblast,33,35.86,1.89,1.34,36.02,24.89,17783.49,2021,8.39
Voronezhskaya oblast,34,36.7,0.86,1.09,34.59,26.76,15311.51,2021,8.39
Ivanovskaya oblast,37,32.87,1.1,2.2,39.71,24.13,19094.64,2021,8.39
Kaluzhskaya oblast,40,30.82,0.87,2.37,44.37,21.58,22705.44,2021,8.39
Kostromskaya oblast,44,33.02,1.33,1.65,42.45,21.56,19254.14,2021,8.39
Kurskaya oblast,46,33.58,2.69,1.39,42.62,19.72,19097.5,2021,8.39
Lipetskaya oblast,48,35.79,1.82,1.44,37.12,23.82,17820.6,2021,8.39
Moskovskaya oblast,50,29.9,4.19,1.26,31.28,33.36,23035.49,2021,8.39
Orlovskaya oblast,57,30.59,1.83,1.18,41.5,24.9,16739.61,2021,8.39
Ryazanskaya oblast,62,40.74,0.95,1.01,30.47,26.83,14027.64,2021,8.39
Smolenskaya oblast,67,44.2,0.29,0.75,29.71,25.06,15498.03,2021,8.39
Tambovskaya oblast,68,32.54,1.42,0.57,37.16,28.31,14517.61,2021,8.39
Tverskaya oblast,69,38.92,1.26,1.8,35.75,22.28,17567.6,2021,8.39
Tulskaya oblast,71,39.16,0.54,1.32,32.04,26.93,17138.81,2021,8.39
Yaroslavskaya oblast,76,32.7,3.17,1.66,32.29,30.19,17503.73,2021,8.39
g. Moskva,77,28.31,2.89,1.75,30.79,36.26,37054.09,2021,8.39
Respublika Kareliya,10,34.39,1.86,2.72,32.42,28.62,18448.52,2021,8.39
Respublika Komi,11,31.45,1.02,1.76,39.03,26.73,21492.03,2021,8.39
Arkhangelskaya oblast,29,30.74,1.68,1.49,36.98,29.11,22207.94,2021,8.39
Nenetskiy avtonomnyy okrug,83,26.51,0.01,1.28,44.23,27.97,27255.98,2021,8.39
Vologodskaya oblast,35,36.27,2.54,1.45,33.95,25.79,19483.03,2021,8.39
Kaliningradskaya oblast,39,37.51,2.64,1.91,36.57,21.37,18041.29,2021,8.39
Leningradskaya oblast,47,36.07,4.05,1.85,33.03,25,21257.24,2021,8.39
Murmanskaya oblast,51,24.56,2.16,2.06,43.19,28.03,31624.31,2021,8.39
Novgorodskaya oblast,53,32.42,2.67,1.27,38.43,25.22,17556.94,2021,8.39
Pskovskaya oblast,60,39.5,1.33,2.33,32.33,24.51,14403.95,2021,8.39
g. Sankt-Peterburg,78,29.33,4.09,1.47,35.59,29.51,29291.7,2021,8.39
Respublika Adygeya,1,35.29,1.34,0.64,39.32,23.41,18323.19,2021,8.39
Respublika Kalmykiya,8,40.55,0.47,0.77,35.05,23.16,13060.9,2021,8.39
Respublika Krym,23,44.82,2.22,0.9,29.74,22.32,14493.65,2021,8.39
Krasnodarskiy kray,30,34.82,2.63,1.84,36.79,23.91,18514.2,2021,8.39
Astrakhanskaya oblast,34,38.21,2.2,1.67,35.03,22.89,18871.45,2021,8.39
Volgogradskaya oblast,61,36.45,1.48,1.2,36.3,24.57,17101.17,2021,8.39
Rostovskaya oblast,91,31.56,4.01,1.81,32.34,30.28,17956.27,2021,8.39
g. Sevastopol,92,47.11,1.68,1.88,30.2,19.13,21047.22,2021,8.39
Respublika Dagestan,5,54.8,2.44,0.49,29.09,13.18,15000.22,2021,8.39
Respublika Ingushetiya,6,46.83,4.35,0.05,35.85,12.92,12486.46,2021,8.39
Kabardino-Balkarskaya,7,43.97,0.31,0.37,33.87,21.48,10656.69,2021,8.39
Karachaevo-Cherkesskaya,9,29.7,5.51,0.18,39.81,24.81,14670.01,2021,8.39
Respublika Severnaya,15,41.33,0.51,0.46,36.39,21.31,13667.1,2021,8.39
Chechenskaya Respublika,20,39.18,3.84,0,38.58,18.39,12316.18,2021,8.39
Stavropolskiy kray,26,33.04,1.25,1.61,35.49,28.62,15947.84,2021,8.39
Respublika Bashkortostan,2,29.95,3.03,1.55,41.02,24.45,19884.36,2021,8.39
Respublika Mariy El,12,35.64,1.17,1.21,36.49,25.5,13327.03,2021,8.39
Respublika Mordoviya,13,41.43,1.11,1.58,32.74,23.14,14087.31,2021,8.39
Respublika Tatarstan,16,27.11,3.33,1.64,40.53,27.39,17922.67,2021,8.39
Udmurtskaya Respublika,18,29.4,2.4,1.81,41.71,24.68,18662.53,2021,8.39
Chuvashskaya Respublika,21,38.07,2.65,1.65,30.96,26.68,11459.26,2021,8.39
Permskiy kray,59,30.74,2.38,1.95,38.56,26.38,18665.08,2021,8.39
Kirovskaya oblast,43,31.69,2.07,1.8,39.76,24.69,17900.2,2021,8.39
Nizhegorodskaya oblast,52,29.62,2.26,1.39,42.57,24.15,21834.23,2021,8.39
Orenburgskaya oblast,56,34.61,1.67,1.19,39.58,22.95,15715.19,2021,8.39
Penzenskaya oblast,58,33.83,2.17,1.81,34.41,27.77,14898.84,2021,8.39
Samarskaya oblast,63,30.36,2.59,1.73,39.98,25.34,19557.75,2021,8.39
Saratovskaya oblast,64,38.07,2.17,0.98,35.13,23.65,15638.88,2021,8.39
Ulyanovskaya oblast,73,38.32,1.04,1.09,30.49,29.06,15030.25,2021,8.39
Kurganskaya oblast,45,36.39,1.1,1.67,41.72,19.12,15827.82,2021,8.39
Sverdlovskaya oblast,66,31.1,2.27,1.55,37.09,27.99,20085.16,2021,8.39
Tyumenskaya oblast,72,29.69,1.09,1.54,42.1,25.58,25165.16,2021,8.39
Khanty-Mansiyskiy avt.okrug ,86,24.87,1.1,1.67,43.62,28.74,26441.04,2021,8.39
Yamalo-Nenetskiy ,89,27.11,1.04,1.6,43.64,26.62,38503.06,2021,8.39
Chelyabinskaya oblast,74,29.33,2.32,1.81,39.17,27.37,18680.72,2021,8.39
Respublika Altay,4,30.84,0.78,1.17,45.34,21.87,13455.87,2021,8.39
Respublika Tyva,17,24.43,1.9,0.6,51.25,21.82,14448.4,2021,8.39
Respublika Khakasiya,19,32.46,1.01,1.5,42.68,22.34,17657.13,2021,8.39
Altayskiy kray,22,32.86,0.68,1.2,43.37,21.89,14472.93,2021,8.39
Krasnoyarskiy kray,24,27.19,2.83,1.67,39.8,28.51,23264.01,2021,8.39
Irkutskaya oblast,38,33.88,0.85,1.32,40.2,23.75,18594.55,2021,8.39
Kemerovskaya oblast,42,32.12,0.67,1.39,38.21,27.59,15688.76,2021,8.39
Novosibirskaya oblast,54,34.57,1.61,2.48,40.15,21.18,16307.79,2021,8.39
Omskaya oblast,55,35.63,2.5,1.77,31.76,28.34,15547.78,2021,8.39
Tomskaya oblast,70,30.29,2.63,1.45,35.58,30.04,17399.87,2021,8.39
Respublika Buryatiya,3,33.91,1.63,0.75,40.63,23.08,14098.87,2021,8.39
Respublika Sakha (Yakutiya),14,32.25,2.61,1.02,36.28,27.84,23809.99,2021,8.39
Zabaykalskiy kray,75,35.59,1.44,1.63,36.48,24.86,18285.04,2021,8.39
Kamchatskiy kray,41,30.05,2.35,1.84,36.42,29.33,30395.77,2021,8.39
Primorskiy kray,25,28.49,3.26,1.37,36.97,29.91,24628.8,2021,8.39
Khabarovskiy kray,27,27.8,1.38,1.52,38.28,31.02,24754.03,2021,8.39
Amurskaya oblast,28,27.61,0.26,1.39,43.31,27.45,18979.81,2021,8.39
Magadanskaya oblast,49,28.2,1.88,0.99,34.45,34.48,34695.75,2021,8.39
Sakhalinskaya oblast,65,33.23,0.64,1.2,38.77,26.16,26732.61,2021,8.39
Evreyskaya avtonomnaya oblast,79,30.78,1.32,2.71,41.56,23.62,19175.15,2021,8.39
Chukotskiy avtonomnyy okrug,87,38.62,0.14,4.16,29.68,27.4,26277.37,2021,8.39
Belgorodskaya oblast,31,36.13,2.21,1.39,35.27,25,19334.73,2022,10.39
Bryanskaya oblast,32,38.67,1.59,1.09,36.83,21.82,15463.53,2022,10.39
Vladimirskaya oblast,33,34.56,1.18,1.58,34.99,27.68,17915.47,2022,10.39
Voronezhskaya oblast,34,37.77,0.23,1.03,35.51,25.45,15522.29,2022,10.39
Ivanovskaya oblast,37,30.98,1.42,2.09,44.18,21.33,21243.63,2022,10.39
Kaluzhskaya oblast,40,32.57,0.54,1.71,40.06,25.13,20525.93,2022,10.39
Kostromskaya oblast,44,37.19,2.06,2.02,35.75,22.98,18465.02,2022,10.39
Kurskaya oblast,46,31.79,1.2,1.09,48.12,17.8,20875.09,2022,10.39
Lipetskaya oblast,48,37.26,1.16,1.14,32.55,27.89,18064.74,2022,10.39
Moskovskaya oblast,50,30.39,4.53,1.03,29.85,34.19,23978.98,2022,10.39
Orlovskaya oblast,57,33.38,1.14,1.05,37.85,26.58,16393.14,2022,10.39
Ryazanskaya oblast,62,43.48,0.92,1.48,27.85,26.28,14139.65,2022,10.39
Smolenskaya oblast,67,46.8,0.31,0.79,25.73,26.36,15408.85,2022,10.39
Tambovskaya oblast,68,35.7,0.62,0.74,33.96,28.98,14121.22,2022,10.39
Tverskaya oblast,69,39.71,1.85,2.15,32.78,23.51,17434.93,2022,10.39
Tulskaya oblast,71,38.64,0.55,1.25,33.7,25.86,17691.55,2022,10.39
Yaroslavskaya oblast,76,34.7,2.07,1.78,31.36,30.08,17300.94,2022,10.39
g. Moskva,77,18.05,3.31,1.41,52.16,25.06,55284.03,2022,10.39
Respublika Kareliya,10,38.2,1.38,2.09,31.49,26.85,18224.95,2022,10.39
Respublika Komi,11,34.33,1.21,1.77,32.86,29.82,19813.73,2022,10.39
Arkhangelskaya oblast,29,27.05,1.56,1.23,38.68,31.48,27654.26,2022,10.39
Nenetskiy avtonomnyy okrug,83,32.41,0,3.8,31.28,32.52,19295.65,2022,10.39
Vologodskaya oblast,35,35.93,1.84,1.39,32.86,27.98,20894.18,2022,10.39
Kaliningradskaya oblast,39,38.71,0.52,1.53,37.16,22.08,18129.82,2022,10.39
Leningradskaya oblast,47,37.74,2.98,1.71,32.85,24.71,20765.67,2022,10.39
Murmanskaya oblast,51,29.28,3.1,2.04,34.73,30.85,30722.11,2022,10.39
Novgorodskaya oblast,53,35.09,1.51,1.19,36.63,25.58,17791.53,2022,10.39
Pskovskaya oblast,60,37.53,0.32,1.59,37.63,22.93,16645.62,2022,10.39
g. Sankt-Peterburg,78,30.84,3.44,1.55,35.11,29.06,29749.22,2022,10.39
Respublika Adygeya,1,41.73,0.65,0.65,31.63,25.35,16444.44,2022,10.39
Respublika Kalmykiya,8,43.91,0.25,0.61,29.76,25.47,12939.74,2022,10.39
Respublika Krym,91,45.23,2.37,1.27,28.7,22.43,14541.54,2022,10.39
Krasnodarskiy kray,23,34.61,2.52,1.28,31.52,30.08,18714.12,2022,10.39
Astrakhanskaya oblast,30,39.07,1.51,1.51,33.05,24.87,18713.53,2022,10.39
Volgogradskaya oblast,34,37.75,1.52,1.15,34.56,25.02,17247.23,2022,10.39
Rostovskaya oblast,61,32.11,3.37,1.41,33.47,29.64,17922.76,2022,10.39
g. Sevastopol,92,47.6,1.79,2.41,28.94,19.25,21333.4,2022,10.39
Respublika Dagestan,5,63.34,0.23,0.32,18.13,17.98,13883.87,2022,10.39
Respublika Ingushetiya,6,46.48,4.81,0,34.17,14.54,10924.79,2022,10.39
Kabardino-Balkarskaya,7,41.36,0.48,0.28,33.54,24.34,11263.03,2022,10.39
Karachaevo-Cherkesskaya,9,32.02,0.6,0.19,39.31,27.87,13519,2022,10.39
Respublika Severnaya,15,34.99,0.83,0.39,42.94,20.86,15488.5,2022,10.39
Chechenskaya Respublika,20,40.38,0.46,0,38.54,20.62,13250.02,2022,10.39
Stavropolskiy kray,26,36.66,0.52,1.64,31.68,29.51,15662.09,2022,10.39
Respublika Bashkortostan,2,29.66,3.46,1.21,40.72,24.96,20623.85,2022,10.39
Respublika Mariy El,12,35.4,1.39,1.02,34.5,27.69,14149.86,2022,10.39
Respublika Mordoviya,13,43.15,1.2,1.45,31.72,22.48,14421.82,2022,10.39
Respublika Tatarstan,16,28.65,4.14,1.57,41.64,24.01,19976.8,2022,10.39
Udmurtskaya Respublika,18,31.82,3.26,2.03,37.78,25.12,17605.28,2022,10.39
Chuvashskaya Respublika,21,39.67,2.37,1.58,29.91,26.47,12747.06,2022,10.39
Permskiy kray,59,29.4,1.73,1.61,42.29,24.97,20335.91,2022,10.39
Kirovskaya oblast,43,32.32,3.88,1.68,35.32,26.79,18057.08,2022,10.39
Nizhegorodskaya oblast,52,33.33,5.42,1.26,36.47,23.53,20933.04,2022,10.39
Orenburgskaya oblast,56,35.47,1.95,1.05,33.07,28.46,15244.95,2022,10.39
Penzenskaya oblast,58,36.59,0.3,1.81,34.69,26.6,15452.28,2022,10.39
Samarskaya oblast,63,33.19,2.36,1.83,36.21,26.42,18793.72,2022,10.39
Saratovskaya oblast,64,42.16,1.57,0.99,26.43,28.85,14357.45,2022,10.39
Ulyanovskaya oblast,73,38.26,0.62,1.25,28.43,31.43,15488.21,2022,10.39
Kurganskaya oblast,45,40.34,0.59,1.6,37.19,20.29,15602.18,2022,10.39
Sverdlovskaya oblast,66,34.01,4.51,1.87,35.66,23.95,20742.74,2022,10.39
Tyumenskaya oblast,72,31.85,1.18,1.69,39.75,25.53,26077.62,2022,10.39
Khanty-Mansiyskiy avt.okrug ,86,27.61,1.47,1.92,40.14,28.87,28794.38,2022,10.39
Yamalo-Nenetskiy ,89,32.51,0.83,1.77,39.01,25.88,33912.11,2022,10.39
Chelyabinskaya oblast,74,32.4,2.69,2.28,33.21,29.42,18195.42,2022,10.39
Respublika Altay,4,28.83,0.74,1.15,47.66,21.62,14008.17,2022,10.39
Respublika Tyva,17,32.77,2.16,0.97,38.66,25.44,11892.18,2022,10.39
Respublika Khakasiya,19,34.28,1.8,1.47,36.23,26.23,16596.36,2022,10.39
Altayskiy kray,22,38.77,0.92,1.23,34.16,24.92,13466.64,2022,10.39
Krasnoyarskiy kray,24,31.7,2.49,2.13,33.52,30.17,21680.17,2022,10.39
Irkutskaya oblast,38,34.49,0.92,1.46,37.45,25.67,18769.64,2022,10.39
Kemerovskaya oblast,42,34.45,0.64,1.5,34.46,28.94,15698.18,2022,10.39
Novosibirskaya oblast,54,37.79,0.9,2.11,37.37,21.82,15408.75,2022,10.39
Omskaya oblast,55,39.49,2.39,1.63,30.77,25.72,15734.95,2022,10.39
Tomskaya oblast,70,31.32,2.31,1.61,37.21,27.55,18554.46,2022,10.39
Respublika Buryatiya,3,38.1,1.27,0.9,33.54,26.19,13165.56,2022,10.39
Respublika Sakha (Yakutiya),14,34.02,2.23,0.97,33.92,28.86,23351.14,2022,10.39
Zabaykalskiy kray,75,39.04,1.15,1.77,33.84,24.2,17937.33,2022,10.39
Kamchatskiy kray,41,32.48,2.23,2.2,32.71,30.37,29300.72,2022,10.39
Primorskiy kray,25,26.29,3.22,1.19,44.54,24.76,28546.04,2022,10.39
Khabarovskiy kray,27,28,1.55,1.62,38.59,30.25,24233.04,2022,10.39
Amurskaya oblast,28,24.79,0.99,1.13,47.1,25.99,20439.41,2022,10.39
Magadanskaya oblast,49,32.88,2.36,1.25,30.58,32.93,32713,2022,10.39
Sakhalinskaya oblast,65,34.31,2.3,1.41,33.49,28.49,24983.83,2022,10.39
Evreyskaya avtonomnaya oblast,79,30.24,1.01,2.71,38.59,27.46,20184.95,2022,10.39
Chukotskiy avtonomnyy okrug,87,41,0.52,2.99,29.1,26.38,25545.78,2022,10.39
